image_path,output
test/37381.jpg,"[[{""label"": ""OZON"", ""left"": 0.361328125, ""top"": 0.7321428571428571, ""width"": 0.09114583333333331, ""height"": 0.08184523809523814, ""shape"": ""rectangle""}, {""label"": ""GLON"", ""left"": 0.2669270833333333, ""top"": 0.7366071428571429, ""width"": 0.08723958333333337, ""height"": 0.1696428571428571, ""shape"": ""rectangle""}]]"
test/37378.jpg,"[[{""label"": ""олинкальная"", ""left"": 0.1953125, ""top"": 0.38839285714285715, ""width"": 0.16471354166666669, ""height"": 0.17410714285714285, ""shape"": ""rectangle""}]]"
test/37376.jpg,"[[{""label"": ""с Рерсороя кухня\nБЫТН пекла"", ""left"": 0.5131763453103914, ""top"": 0.5032653749759014, ""width"": 0.0906845689946018, ""height"": 0.06184933487565057, ""shape"": ""rectangle""}, {""label"": ""ТАБАМ С"", ""left"": 0.6106770833333334, ""top"": 0.46130952380952384, ""width"": 0.09830729166666667, ""height"": 0.09523809523809523, ""shape"": ""rectangle""}, {""label"": ""БЕЛЫЕ ОБЫ"", ""left"": 0.783203125, ""top"": 0.40029761904761907, ""width"": 0.21549479166666666, ""height"": 0.12797619047619047, ""shape"": ""rectangle""}]]"
test/37362.jpg,"[[{""label"": ""масной"", ""left"": 0.6471354166666666, ""top"": 0.32838038632986627, ""width"": 0.11263020833333337, ""height"": 0.08172362555720653, ""shape"": ""rectangle""}, {""label"": ""ч.1 Регорокси сегорский Бареко"", ""left"": 0.8294270833333334, ""top"": 0.3031203566121842, ""width"": 0.09049479166666663, ""height"": 0.0832095096582467, ""shape"": ""rectangle""}, {""label"": ""5 р"", ""left"": 0.8274739583333334, ""top"": 0.5066864784546805, ""width"": 0.08658854166666663, ""height"": 0.08618127786032692, ""shape"": ""rectangle""}]]"
test/37350.jpg,"[[{""label"": ""АНКЙ"", ""left"": 0.14778645833333334, ""top"": 0.6860119047619048, ""width"": 0.17643229166666666, ""height"": 0.12351190476190477, ""shape"": ""rectangle""}]]"
test/37329.jpg,"[[{""label"": ""просукиль"", ""left"": 0.009114583333333334, ""top"": 0.3125, ""width"": 0.3658854166666667, ""height"": 0.40327380952380953, ""shape"": ""rectangle""}, {""label"": ""ХОЛОДИЛЬНИКИ"", ""left"": 0.6725260416666666, ""top"": 0.39880952380952384, ""width"": 0.12890625, ""height"": 0.30208333333333326, ""shape"": ""rectangle""}]]"
test/37327.jpg,"[[{""label"": ""КЛМЧИСТ Злики"", ""left"": 0.6061197916666666, ""top"": 0.5877976190476191, ""width"": 0.12239583333333333, ""height"": 0.2767857142857143, ""shape"": ""rectangle""}, {""label"": ""FAgT N Черсков 4 4 СаФЕ Ночовкой"", ""left"": 0.7174479166666666, ""top"": 0.6592261904761905, ""width"": 0.15690104166666666, ""height"": 0.3392857142857143, ""shape"": ""rectangle""}]]"
test/37325.jpg,"[[{""label"": ""КИМЧИСТК З вома"", ""left"": 0.5865885416666666, ""top"": 0.5952380952380952, ""width"": 0.11393229166666674, ""height"": 0.24702380952380953, ""shape"": ""rectangle""}, {""label"": ""S. Ne ruberion бльниеровая"", ""left"": 0.6940104166666666, ""top"": 0.6339285714285714, ""width"": 0.16536458333333337, ""height"": 0.30505952380952384, ""shape"": ""rectangle""}]]"
test/37319.jpg,"[[{""label"": ""L ИDССС"", ""left"": 0.22005208333333334, ""top"": 0, ""width"": 0.22656249999999997, ""height"": 0.19345238095238096, ""shape"": ""rectangle""}]]"
test/37309.jpg,"[[{""label"": ""Якитория"", ""left"": 0.4192708333333333, ""top"": 0.16666666666666666, ""width"": 0.13346354166666669, ""height"": 0.11309523809523811, ""shape"": ""rectangle""}, {""label"": ""НПОНТИРА"", ""left"": 0.8046875, ""top"": 0.14136904761904762, ""width"": 0.15559895833333337, ""height"": 0.09523809523809523, ""shape"": ""rectangle""}]]"
